episode,score,type
1330,1.0,train
1331,2.0,train
1332,2.0,train
1333,1.0,train
1334,0,train
1335,0,train
1336,1.0,train
1337,1.0,train
1338,1.0,train
1339,2.0,train
1340,1.0,train
1341,0,train
1342,0,train
1343,3.0,train
1344,2.0,train
1345,1.0,train
1346,3.0,train
1347,1.0,train
1348,1.0,train
1349,4.0,train
1350,1.0,train
1351,2.0,train
1352,3.0,train
1353,3.0,train
1354,1.0,train
1355,1.0,train
1356,0,train
1357,1.0,train
1358,1.0,train
1359,1.0,train
1360,1.0,train
1361,2.0,train
1362,3.0,train
1363,1.0,train
1364,2.0,train
1365,2.0,train
1366,0,train
1367,1.0,train
1368,0,train
1369,3.0,train
1370,0,train
1371,3.0,train
1372,3.0,train
1373,5.0,train
1374,1.0,train
1375,0,train
1376,3.0,train
1377,1.0,train
1378,0,train
1379,0,train
1380,0,train
1381,1.0,train
1382,1.0,train
1383,3.0,train
1384,2.0,train
1385,1.0,train
1386,3.0,train
1387,6.0,train
1388,1.0,train
1389,0,train
1390,1.0,train
1391,3.0,train
1392,1.0,train
1393,5.0,train
1394,1.0,train
1395,1.0,train
1396,1.0,train
1397,0,train
1398,0,train
1399,1.0,test
1400,2.0,test
1401,0,test
1402,0,test
1403,1.0,test
1404,1.0,test
1405,1.0,test
1406,1.0,test
1407,0,test
1408,5.0,test
1409,3.0,test
1410,1.0,test
1411,1.0,test
1412,1.0,test
1413,4.0,test
1414,0,test
1415,2.0,test
1416,1.0,test
1417,0,test
1418,1.0,test
1419,1.0,test
1420,2.0,test
1421,2.0,test
1422,1.0,test
1423,0,test
1424,2.0,test
1425,3.0,test
1426,1.0,test
1427,1.0,test
1428,2.0,test
1429,3.0,test
1430,1.0,test
1431,1.0,test
1432,2.0,test
1433,1.0,test
1434,1.0,test
1435,0,test
1436,1.0,test
1437,4.0,test
1438,2.0,test
1439,4.0,test
1440,1.0,test
1441,2.0,test
1442,3.0,test
1443,2.0,test
1444,1.0,test
1445,1.0,test
1446,3.0,test
1447,0,test
1448,1.0,test
1449,1.0,test
1450,2.0,test
1451,1.0,test
1452,2.0,test
1453,2.0,test
1454,1.0,test
1455,2.0,test
1456,2.0,test
1457,1.0,test
1458,1.0,test
1459,0,test
1460,3.0,test
1461,3.0,test
1462,3.0,test
1463,1.0,test
1464,0,test
1465,5.0,test
1466,0,test
1467,1.0,test
1468,1.0,test
1469,2.0,test
1470,2.0,test
1471,5.0,test
1472,1.0,test
1473,1.0,test
1474,6.0,test
1475,1.0,test
1476,1.0,test
1477,2.0,test
1478,2.0,test
1479,1.0,test
1480,0,test
1481,3.0,test
1482,2.0,test
1483,1.0,test
1484,2.0,test
1485,7.0,test
1486,2.0,test
1487,2.0,test
1488,2.0,test
1489,1.0,test
1490,4.0,test
1491,2.0,test
1492,0,test
1493,2.0,test
1494,1.0,test
1495,3.0,test
1496,1.0,test
1497,0,test
1498,2.0,test
1499,1.0,test
1500,2.0,test
1501,2.0,test
1502,6.0,test
1503,2.0,test
1504,1.0,test
1505,1.0,test
1506,1.0,test
1507,2.0,test
1508,2.0,test
1509,5.0,test
1510,3.0,test
1511,1.0,test
1512,1.0,test
1513,3.0,test
1514,2.0,test
1515,0,test
1516,3.0,test
1517,3.0,test
1518,0,test
1519,1.0,test
1520,1.0,test
1521,3.0,test
1522,3.0,test
1523,2.0,test
1524,3.0,test
1525,0,test
1526,3.0,test
1527,2.0,test
1528,1.0,test
1529,0,test
1530,2.0,test
1531,1.0,test
1532,1.0,test
1533,2.0,test
1534,2.0,test
1535,3.0,test
1536,1.0,test
1537,1.0,test
1538,1.0,test
1539,2.0,test
1540,1.0,test
1541,1.0,test
1542,1.0,test
1543,1.0,test
1544,1.0,test
1545,2.0,test
1546,0,test
1547,1.0,test
1548,1.0,test
1549,1.0,test
1550,0,test
1551,3.0,test
1552,1.0,test
1553,3.0,test
